trip_id,start_time,end_time,headway_secs,exact_times
37795,05:00:00,19:00:00,2400,0
37765,19:00:00,22:00:00,1740,0
37770,05:00:00,19:00:00,1560,0
37802,18:30:00,22:30:00,4020,0
37852,05:00:00,19:00:00,1800,0
37796,19:00:00,23:00:00,3300,0
37801,05:22:00,18:30:00,2220,0
37789,19:00:00,23:00:00,3300,0
37889,04:25:00,19:00:00,720,0
37890,19:00:00,25:00:00,780,0
37853,19:00:00,23:00:00,2040,0
37859,19:00:00,23:00:00,2040,0
37896,04:25:00,19:00:00,720,0
37858,05:00:00,19:00:00,1800,0
38015,04:55:00,19:00:00,1980,0
37990,05:50:00,18:00:00,1620,0
37864,05:25:00,18:30:00,960,0
37938,05:00:00,19:00:00,1800,0
37959,18:30:00,20:20:00,3600,0
37991,18:00:00,20:00:00,2340,0
38021,05:10:00,19:00:00,660,0
37930,19:00:00,23:40:00,600,0
37865,18:30:00,22:15:00,1020,0
37634,07:00:00,18:00:00,5400,0
38010,19:00:00,24:45:00,2160,0
37637,18:00:00,22:40:00,5400,0
37777,19:00:00,22:00:00,2940,0
37882,04:30:00,19:00:00,960,0
37664,19:00:00,23:00:00,1080,0
37677,05:00:00,19:00:00,900,0
37883,19:00:00,24:40:00,960,0
37782,05:00:00,19:00:00,1860,0
37839,05:00:00,19:00:00,3420,0
37783,19:00:00,22:00:00,2940,0
37840,19:00:00,22:00:00,3060,0
37661,05:00:00,19:00:00,780,0
37776,05:00:00,19:00:00,1860,0
37731,19:00:00,23:00:00,2400,0
37826,19:00:00,22:00:00,7140,0
37807,05:22:00,18:30:00,2220,0
37788,05:00:00,19:00:00,2400,0
37825,05:00:00,19:00:00,3000,0
37808,18:30:00,22:30:00,4020,0
37814,18:30:00,22:30:00,5760,0
37813,05:30:00,18:30:00,2820,0
37819,05:30:00,18:30:00,2820,0
37831,05:00:00,19:00:00,3000,0
37820,18:30:00,22:30:00,5760,0
37832,19:00:00,22:00:00,7140,0
37847,19:00:00,22:00:00,3420,0
37846,05:00:00,19:00:00,3420,0
37952,05:10:00,18:00:00,2460,0
37730,05:00:00,19:00:00,2340,0
37919,04:40:00,19:00:00,540,0
37953,18:00:00,21:00:00,3900,0
38182,05:30:00,18:00:00,2160,0
38052,19:00:00,22:35:00,1080,0
38106,19:00:00,22:00:00,2460,0
38051,05:35:00,19:00:00,900,0
38105,05:00:00,19:00:00,1800,0
38057,05:10:00,19:00:00,780,0
38178,18:30:00,21:15:00,3060,0
